OID_,AddNum_Pre,Add_Number,AddNum_Suf,AddNo_Full,St_PreMod,St_PreDir,St_PreTyp,St_PreSep,St_Name,St_PosTyp,St_PosDir,St_PosMod,StNam_Full,Building,Floor,Unit,Room,Seat,Addtl_Loc,SubAddress,LandmkName,County,Inc_Muni,Post_City,Census_Plc,Uninc_Comm,Nbrhd_Comm,NatAmArea,NatAmSub,Urbnztn_PR,PlaceOther,PlaceNmTyp,State,Zip_Code,Plus_4,UUID,AddAuth,AddrRefSys,Longitude,Latitude,NatGrid,Elevation,Placement,AddrPoint,Related_ID,RelateType,ParcelSrc,Parcel_ID,AddrClass,Lifecycle,Effective,Expire,DateUpdate,AnomStatus,LocatnDesc,Addr_Type,DeliverTyp,NAD_Source,DataSet_ID
55553379,,504,,504,,,,,TRENTON,Street,,,TRENTON Street,,,,,,,,,Roane,Harriman,HARRIMAN,,,,,,,,,TN,37748,,{E64F43BA-63DD-4012-9A03-508E034F8864},,,-84.549231324445799,35.934435301761809,16SGE2108579452,,Unknown,-84.5492313244458 35.93443530176181,,,,,Numbered Thoroughfare Address,,10/10/2017 0:00:00,,10/10/2017 0:00:00,,,Unknown,,TN STS GIS Services,ROANE_40337
40710483,,22,,22,,,,,Nagel,Drive,,,Nagel Drive,,,,,,,,,Erie,Cheektowaga,Buffalo,Cheektowaga CDP,Cheektowaga,,,,,,,NY,14225,,{C1E6E8A6-ED16-49C1-8C99-46E7040502A4},911 Addressing Authority,,-78.746159237999962,42.919926305000047,17TPH8394854387,,Structure - Rooftop,-78.74615923799996 42.91992630500005,,,,,Numbered Thoroughfare Address,Active,,,4/22/2025 0:00:00,,,Unknown,,New York State Geospatial Services,ERIE252257
24649817,,5836,,5836,,,,,Hubbard,Drive,,,Hubbard Drive,,,,,,,,,Montgomery,Unincorporated,Rockville,,,,,,,,,MD,20852,,{B5513532-45C9-4276-A468-CE167F39E458},,,-77.119597342954606,39.054235254560034,18SUJ1659124933,,Unknown,-77.1195973429546 39.054235254560034,,,,,Numbered Thoroughfare Address,,,,2/14/2024 0:00:00,,,Unknown,,Maryland Department of Information Technology,851514
51514548,,103,,103,,,,,PURITAN,Drive,,,PURITAN Drive,,,,,,,,,Newport,Unincorporated,Not stated,Melville CDP,,MIDDLETOWN,,,,,,RI,02842,,{23AB98D2-7ACE-40B2-8B2F-F1775F595BAC},,,-71.301622862999977,41.554623461000062,19TCG0805502886,,Unknown,-71.30162286299998 41.55462346100006,,,,,Numbered Thoroughfare Address,,,,4/24/2019 0:00:00,,,Multi-Family Home,,State of Rhode Island,{23AB98D2-7ACE-40B2-8B2F-F1775F595BAC}
31770565,,2891,,2891,,,,,LAKE SHORE,Road,South,,LAKE SHORE Road South,,,,,,,,,Lincoln,Unincorporated,DENVER,,,,,,,,,NC,28037,,{83E7D3AA-F6BE-43C9-A229-8700B8850282},,,-80.981462222585549,35.497915195294141,17SNV0168128262,,Unknown,-80.98146222258555 35.49791519529414,,,,,Numbered Thoroughfare Address,,,,11/5/2019 11:12:28,,,Unknown,,State of North Carolina,urn:emergency:uid:gis:ssap:28410:lincoln.nc.us
57658936,,7544,,7544,,South,,,2020,,East,,South 2020 East,,,,,,,,,Davis,SOUTH WEBER,OGDEN,,,,,,,,,UT,84405,,{169B96B1-82D5-44C3-BAEE-88A05A6866D3},DAVIS COUNTY,OGDEN,-111.926519107405639,41.129918718416064,12TVL2223153593,,Unknown,-111.92651910740564 41.129918718416064,,,,132110015,Numbered Thoroughfare Address,,,,2/19/2025 0:00:00,,,Residential,,Utah Geospatial Resource Center (UGRC),OGDEN | 7544 S 2020 E
24075088,,4626,,4626,,,,,Parkside,Drive,,,Parkside Drive,,,,,,,,,Baltimore city,Unincorporated,Baltimore,,,,,,,,,MD,21206,,{01C703F0-F6B8-4ADD-9581-B7F8B6CE4EB2},,,-76.558189770438332,39.323019844210251,18SUJ6568553780,,Unknown,-76.55818977043833 39.32301984421025,,,,,Numbered Thoroughfare Address,,,,2/14/2024 0:00:00,,,Unknown,,Maryland Department of Information Technology,163081
21177715,,205,,205,,,,,LOWELL,Street,,,LOWELL Street,,,1,,,,1,,Middlesex,WILMINGTON,Not stated,,WILMINGTON,,,,,,,MA,01887,,{9364616D-7E80-E800-35E0-03FAA1668392},WILMINGTON,UNINC_COMM,-71.151980631999947,42.537918704000049,19TCH2328311747,,Structure - Rooftop,-71.15198063199995 42.53791870400005,,,,,Numbered Thoroughfare Address,,,,9/25/2019 0:00:00,,,INDUSTRIAL,,MASSGIS Massachusetts,{9364616D-7E80-E800-35E0-03FAA1668392}
54247844,,4162,,4162,,,,,WINDTREE,Drive,,,WINDTREE Drive,,,,,,,,,Hamilton,Signal Mountain,SIGNAL MOUNTAIN,,,,,,,,,TN,37377,,{D6D74C54-8D73-4A9C-91C9-3F9CD305EDEF},,,-85.343035732553446,35.176604419983327,16SFD5088293885,,Unknown,-85.34303573255345 35.17660441998333,,,,,Numbered Thoroughfare Address,,12/30/1899 0:00:00,,12/30/1899 0:00:00,,,Unknown,,TN STS GIS Services,HAMILTON_301287
23630845,,32,,32,,,,,SHELLEY,Road,,,SHELLEY Road,,,,,,,,,Middlesex,ARLINGTON,Not stated,,ARLINGTON,,,,,,,MA,02476,,{8AD0EFB5-EE16-E165-7AE0-03FAA16683D2},ARLINGTON,UNINC_COMM,-71.195080638999968,42.417828680000071,19TCG1939898503,,Structure - Rooftop,-71.19508063899997 42.41782868000007,,,,,Numbered Thoroughfare Address,,,,1/27/2014 0:00:00,,,RESIDENTIAL,,MASSGIS Massachusetts,{8AD0EFB5-EE16-E165-7AE0-03FAA16683D2}
